Year,Month,Geopolitical_Zone,State,CO2_ppm,Source,CO2_Growth_Rate_ppm_per_year
2015,5,South-South,Akwa Ibom,371.42,interpolated,
2015,6,South-South,Akwa Ibom,371.42,interpolated,
2015,7,South-South,Akwa Ibom,371.42,interpolated,
2015,8,South-South,Akwa Ibom,371.42,interpolated,
2015,9,South-South,Akwa Ibom,371.42,interpolated,
2015,10,South-South,Akwa Ibom,371.42,interpolated,
2015,11,South-South,Akwa Ibom,371.42,interpolated,
2015,12,South-South,Akwa Ibom,371.42,interpolated,
2016,1,South-South,Akwa Ibom,371.42,interpolated,
2016,2,South-South,Akwa Ibom,371.42,interpolated,
2016,3,South-South,Akwa Ibom,371.42,interpolated,
2016,4,South-South,Akwa Ibom,371.42,interpolated,
2016,5,South-South,Akwa Ibom,371.42,interpolated,
2016,6,South-South,Akwa Ibom,371.42,interpolated,
2016,7,South-South,Akwa Ibom,371.42,interpolated,
2016,8,South-South,Akwa Ibom,371.42,interpolated,
2016,9,South-South,Akwa Ibom,371.42,interpolated,
2016,10,South-South,Akwa Ibom,371.42,interpolated,
2016,11,South-South,Akwa Ibom,371.42,interpolated,
2016,12,South-South,Akwa Ibom,371.42,interpolated,
2017,1,South-South,Akwa Ibom,371.42,interpolated,
2017,2,South-South,Akwa Ibom,371.42,interpolated,
2017,3,South-South,Akwa Ibom,371.42,interpolated,
2017,4,South-South,Akwa Ibom,371.42,interpolated,
2017,5,South-South,Akwa Ibom,371.42,interpolated,
2017,6,South-South,Akwa Ibom,371.42,interpolated,
2017,7,South-South,Akwa Ibom,371.42,interpolated,
2017,8,South-South,Akwa Ibom,371.42,interpolated,
2017,9,South-South,Akwa Ibom,371.42,interpolated,
2017,10,South-South,Akwa Ibom,371.42,interpolated,
2017,11,South-South,Akwa Ibom,371.42,interpolated,
2017,12,South-South,Akwa Ibom,371.42,interpolated,
2018,1,South-South,Akwa Ibom,371.42,interpolated,
2018,2,South-South,Akwa Ibom,371.42,interpolated,
2018,3,South-South,Akwa Ibom,371.42,interpolated,
2018,4,South-South,Akwa Ibom,371.42,interpolated,
2018,5,South-South,Akwa Ibom,371.42,interpolated,
2018,6,South-South,Akwa Ibom,371.42,interpolated,
2018,7,South-South,Akwa Ibom,371.42,interpolated,
2018,8,South-South,Akwa Ibom,371.42,interpolated,
2018,9,South-South,Akwa Ibom,371.42,interpolated,
2018,10,South-South,Akwa Ibom,371.42,interpolated,
2018,11,South-South,Akwa Ibom,371.42,interpolated,
2018,12,South-South,Akwa Ibom,371.42,interpolated,
2019,1,South-South,Akwa Ibom,371.42,interpolated,
2019,2,South-South,Akwa Ibom,371.42,interpolated,
2019,3,South-South,Akwa Ibom,371.42,interpolated,
2019,4,South-South,Akwa Ibom,371.42,interpolated,
2019,5,South-South,Akwa Ibom,371.42,interpolated,
2019,6,South-South,Akwa Ibom,371.42,interpolated,
2019,7,South-South,Akwa Ibom,371.42,interpolated,
2019,8,South-South,Akwa Ibom,371.42,interpolated,
2019,9,South-South,Akwa Ibom,371.42,interpolated,
2019,10,South-South,Akwa Ibom,371.42,interpolated,
2019,11,South-South,Akwa Ibom,371.42,interpolated,
2019,12,South-South,Akwa Ibom,371.42,interpolated,
2020,1,South-South,Akwa Ibom,371.42,interpolated,
2020,2,South-South,Akwa Ibom,371.42,interpolated,
2020,3,South-South,Akwa Ibom,371.42,interpolated,
2020,4,South-South,Akwa Ibom,371.42,interpolated,
2020,5,South-South,Akwa Ibom,371.42,interpolated,
2020,6,South-South,Akwa Ibom,371.42,interpolated,
2020,7,South-South,Akwa Ibom,371.42,interpolated,
2020,8,South-South,Akwa Ibom,371.42,interpolated,
2020,9,South-South,Akwa Ibom,371.42,interpolated,
2020,10,South-South,Akwa Ibom,371.42,interpolated,
2020,11,South-South,Akwa Ibom,371.42,interpolated,
2020,12,South-South,Akwa Ibom,371.42,interpolated,
2021,1,South-South,Akwa Ibom,371.42,interpolated,
2021,2,South-South,Akwa Ibom,371.42,interpolated,
2021,3,South-South,Akwa Ibom,371.42,interpolated,
2021,4,South-South,Akwa Ibom,371.42,interpolated,
2021,5,South-South,Akwa Ibom,371.42,interpolated,
2021,6,South-South,Akwa Ibom,371.42,interpolated,
2021,7,South-South,Akwa Ibom,371.42,interpolated,
2021,8,South-South,Akwa Ibom,371.42,interpolated,
2021,9,South-South,Akwa Ibom,371.42,interpolated,
2021,10,South-South,Akwa Ibom,371.42,interpolated,
2021,11,South-South,Akwa Ibom,371.42,interpolated,
2021,12,South-South,Akwa Ibom,371.42,interpolated,
2022,1,South-South,Akwa Ibom,371.42,interpolated,
2022,2,South-South,Akwa Ibom,371.42,interpolated,
2022,3,South-South,Akwa Ibom,371.42,interpolated,
2022,4,South-South,Akwa Ibom,371.42,interpolated,
2022,5,South-South,Akwa Ibom,371.42,interpolated,
2022,6,South-South,Akwa Ibom,371.42,interpolated,
2022,7,South-South,Akwa Ibom,371.42,interpolated,
2022,8,South-South,Akwa Ibom,371.42,interpolated,
2022,9,South-South,Akwa Ibom,371.42,interpolated,
2022,10,South-South,Akwa Ibom,371.42,interpolated,
2022,11,South-South,Akwa Ibom,371.42,interpolated,
2022,12,South-South,Akwa Ibom,371.42,interpolated,
2023,1,South-South,Akwa Ibom,371.42,interpolated,
2023,2,South-South,Akwa Ibom,371.42,interpolated,
