Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","2017","2017","3050","FAO TIER 1","kt","907.9322","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","2018","2018","3050","FAO TIER 1","kt","369.5525","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","2019","2019","3050","FAO TIER 1","kt","379.505","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","2020","2020","3050","FAO TIER 1","kt","417.5601","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","2021","2021","3050","FAO TIER 1","kt","436.6059","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","2022","2022","3050","FAO TIER 1","kt","436.6059","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","2023","2023","3050","FAO TIER 1","kt","436.6059","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2000","2000","3050","FAO TIER 1","kt","42.3248","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2001","2001","3050","FAO TIER 1","kt","62.5902","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2002","2002","3050","FAO TIER 1","kt","103.8866","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2003","2003","3050","FAO TIER 1","kt","160.5279","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2004","2004","3050","FAO TIER 1","kt","264.0529","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2005","2005","3050","FAO TIER 1","kt","318.9578","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2006","2006","3050","FAO TIER 1","kt","169.9517","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2007","2007","3050","FAO TIER 1","kt","61.8496","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2008","2008","3050","FAO TIER 1","kt","162.7418","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2009","2009","3050","FAO TIER 1","kt","89.3468","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2010","2010","3050","FAO TIER 1","kt","507.558","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2011","2011","3050","FAO TIER 1","kt","532.6712","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2012","2012","3050","FAO TIER 1","kt","651.9592","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2013","2013","3050","FAO TIER 1","kt","692.3972","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2014","2014","3050","FAO TIER 1","kt","645.7647","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2015","2015","3050","FAO TIER 1","kt","661.4189","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2016","2016","3050","FAO TIER 1","kt","448.6395","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2017","2017","3050","FAO TIER 1","kt","618.0257","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2018","2018","3050","FAO TIER 1","kt","971.8313","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2019","2019","3050","FAO TIER 1","kt","440.7727","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2020","2020","3050","FAO TIER 1","kt","1026.7817","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2021","2021","3050","FAO TIER 1","kt","1171.6949","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2022","2022","3050","FAO TIER 1","kt","470.272","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2023","2023","3050","FAO TIER 1","kt","971.0104","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6506","Food Packaging","2000","2000","3050","FAO TIER 1","kt","10.5898","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6506","Food Packaging","2001","2001","3050","FAO TIER 1","kt","9.3276","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6506","Food Packaging","2002","2002","3050","FAO TIER 1","kt","9.5533","E","Estimated value",""
