zone,year,month,soil_moisture_m3m3
South East,2003,4,0.29790321794871794
South East,2003,5,0.3193380465116279
South East,2003,6,0.353209
South East,2003,7,0.35002887234042557
South East,2003,8,0.3551813181818182
South East,2003,9,0.34787172
South East,2003,10,0.33523547619047617
South East,2003,11,0.3156750175438597
South East,2003,12,0.2763508979591837
South East,2004,1,0.25490277049180327
South East,2004,2,0.2561403103448276
South East,2004,3,0.2636723939393939
South East,2004,4,0.309230275
South East,2004,5,0.3260591692307692
South East,2004,6,0.34537575510204077
South East,2004,7,0.3504101904761905
South East,2004,8,0.34242122222222227
South East,2004,9,0.35124353999999997
South East,2004,10,0.33558594666666663
South East,2004,11,0.32310196721311474
South East,2004,12,0.2748594117647059
South East,2005,1,0.26115593220338984
South East,2005,2,0.2628648571428572
South East,2005,3,0.2656972830188679
South East,2005,4,0.28063649090909093
South East,2005,5,0.31587672857142857
South East,2005,6,0.3469421111111111
South East,2005,7,0.364371756097561
South East,2005,8,0.36305102325581395
South East,2005,9,0.37190024390243903
South East,2005,10,0.347031609375
South East,2005,11,0.32399832142857143
South East,2005,12,0.2530217045454546
South East,2006,1,0.2502367068965517
South East,2006,2,0.2620265263157895
South East,2006,3,0.26955737931034485
South East,2006,4,0.28626022222222225
South East,2006,5,0.35697258
South East,2006,6,0.3523461692307692
South East,2006,7,0.3510566976744186
South East,2006,8,0.35838935714285713
South East,2006,9,0.3701082857142857
South East,2006,10,0.35131455
South East,2006,11,0.32337266176470586
South East,2006,12,0.2766755098039216
South East,2007,1,0.20074599305555557
South East,2007,2,0.2056572945736434
South East,2007,3,0.2366419014084507
South East,2007,4,0.28396011811023625
South East,2007,5,0.3258302518518519
South East,2007,6,0.33396786713286714
South East,2007,7,0.3356392068965517
South East,2007,8,0.34509726896551723
South East,2007,9,0.34914703846153844
South East,2007,10,0.34314383333333337
South East,2007,11,0.32671182191780823
South East,2007,12,0.26965671140939595
South East,2008,1,0.24484233108108108
South East,2008,2,0.20972421276595746
South East,2008,3,0.25324903424657536
South East,2008,4,0.3057473669064748
South East,2008,5,0.3300545401459854
South East,2008,6,0.3358798936170213
South East,2008,7,0.3370462482758621
