PRECTOTCORR_MayAug,Yield_kg_per_ha
1109.7275,7683.871787779127
1906.775,5188.086876564917
1906.775,1687.221836157238
1906.775,2030.0448062570383
1906.775,6401.056585901711
1154.8625,9710.482563269552
1154.8625,1976.846221893448
1154.8625,1870.5756662493256
1154.8625,7878.363993179753
2254.21,5531.713901309267
2254.21,2420.9109129181747
2254.21,2046.0447715008745
2254.21,12156.16178400631
1604.8975,4916.064890618371
1604.8975,1911.3702328115055
1604.8975,1623.5340419429992
1604.8975,10253.265190232822
2714.3925,5672.49354065816
2714.3925,2137.3772408084637
2714.3925,2049.2080230511638
2714.3925,9934.414468840268
1143.375,9360.40374365666
1143.375,1870.871589587656
1143.375,1904.7613167164368
1143.375,7550.270447792966
1894.5774999999999,5293.063024311827
1894.5774999999999,1679.674821776171
1894.5774999999999,2026.7284444772836
1894.5774999999999,6533.358296517267
1633.74,9762.386658317017
1633.74,1999.205800373851
1633.74,1865.6275352908808
1633.74,7926.157056015287
2064.62,6624.183850232296
2064.62,2596.910535545842
2064.62,2080.9948583286427
2064.62,12555.940696126518
1532.6425,5608.644892062252
1532.6425,1874.1618306762095
1532.6425,1677.5814410966425
1532.6425,10602.601515129283
1857.3374999999999,5933.81607912259
1857.3374999999999,2246.690569038757
1857.3374999999999,2073.643621563844
1857.3374999999999,10310.171406504816
884.585,7930.881603245954
884.585,1931.590582568359
884.585,1768.9216421973235
884.585,7709.852217645293
1676.2300000000002,6442.618770135126
1676.2300000000002,1819.8225678843548
1676.2300000000002,1972.2635610193345
1676.2300000000002,6866.720714223694
1404.605,10978.98884397255
1404.605,2145.86022349956
1404.605,1723.0923018682756
1404.605,8097.076395063083
1370.61,6665.785525750729
1370.61,2649.4804224161
1370.61,2127.3356135564945
1370.61,12619.195605621346
510.75249999999994,5643.868687860585
510.75249999999994,1912.1008998906443
510.75249999999994,1714.938793385017
510.75249999999994,10656.015947291684
986.8100000000001,5971.082201320749
986.8100000000001,2292.1709042383786
986.8100000000001,2119.820685735864
986.8100000000001,10362.112504640634
884.9174999999999,7980.689694695063
884.9174999999999,1970.692125785297
884.9174999999999,1808.3130419734907
884.9174999999999,7748.693333872557
1564.5975,6483.080229542128
1564.5975,1856.6616892282648
1564.5975,2016.182761559397
1564.5975,6901.314345625096
1546.3725,11047.93983615542
1546.3725,2189.299359616969
1546.3725,1761.4630601872382
1546.3725,8137.868296158832
