Region,Crop,Year,Month,Temperature_C,Rainfall_mm,Humidity_percent,CO2_MtCO2,Soil_Moisture_Annual_Mean,Soil_Moisture_GrowSeason,Soil_Moisture_DrySeason,Yield_kg_per_ha,Soil_Moisture_m3m3,GDD,Cumulative_Rainfall,Days_Into_Season,SoilMoisture_Temp_Interaction,SoilMoisture_Rainfall_Interaction,Is_Rainy_Season,Is_Peak_Growing,Heat_Stress,Cold_Stress,Rainfall_Anomaly,Drought_Risk,Flood_Risk,Soil_Moisture_Anomaly,Yield_Lag_1,Yield_Lag_2,Yield_Lag_3,Yield_MA_3yr,Temp_MA_3yr,Rain_MA_3yr,Soil_MA_3yr,Yield_YoY_Change,Temp_YoY_Change,Rain_YoY_Change,Yield_Volatility_3yr
North West,Yams,2003,7,25.054523809523808,588.34375,46.60952380952381,100.03,0.1653168530298369,0.21533605246796128,0.11529765359171251,1688.6688668866889,0.2618082038834951,451.63571428571424,2534.1022430737594,90,6.559479877727692,154.0332204535801,1,1,0,0,-0.2286714585754384,0,0,0.8315289643260411,10132.013201320133,10591.581342434585,10113.186813186812,10285.202581691618,26.31325396825397,5589.133333333334,0.16297982555566837,0.0,0.12773809523809732,67.80000000000018,265.3317899834048
North West,Yams,2003,8,23.95644759817049,674.4832534631203,46.60952380952381,100.03,0.1653168530298369,0.21533605246796128,0.11529765359171251,1688.6688668866889,0.2852937810945273,418.69342794511476,3208.58549653688,120,6.834625516874967,192.425877665432,1,0,0,0,-0.22867145857650775,0,0,0.2154771328273339,10132.013201320133,10591.581342434585,10113.186813186812,10285.202581691618,26.31325396825397,5589.133333333334,0.16297982555566837,0.0,0.12773809523809732,67.80000000000018,265.3317899834048
North West,Yams,2003,9,23.554523809523808,706.0125,46.60952380952381,100.03,0.1653168530298369,0.21533605246796128,0.11529765359171251,1688.6688668866889,0.2813476825396825,406.63571428571424,3914.5979965368797,150,6.627010687135297,198.6349807190476,1,0,0,0,-0.22867145857683316,0,0,1.0673384175041922,10132.013201320133,10591.581342434585,10113.186813186812,10285.202581691618,26.31325396825397,5589.133333333334,0.16297982555566837,0.0,0.12773809523809732,67.80000000000018,265.3317899834048
North West,Yams,2003,10,23.95644759817049,674.4832534631204,46.60952380952381,100.03,0.1653168530298369,0.21533605246796128,0.11529765359171251,0.0,0.2129094922279792,0.0,4589.08125,180,5.100555093712671,143.60388701110836,0,0,0,0,-0.22867145857650736,0,0,0.579313521882167,10132.013201320133,10591.581342434585,10113.186813186812,10285.202581691618,26.31325396825397,5589.133333333334,0.16297982555566837,0.0,0.12773809523809732,67.80000000000018,265.3317899834048
North West,Yams,2003,11,25.054523809523808,588.34375,46.60952380952381,100.03,0.1653168530298369,0.21533605246796128,0.11529765359171251,0.0,0.137505985,0.0,5177.425,210,3.4451469751345236,80.90078686234375,0,0,0,0,-0.2286714585754384,0,0,0.5848802339162705,10132.013201320133,10591.581342434585,10113.186813186812,10285.202581691618,26.31325396825397,5589.133333333334,0.16297982555566837,0.0,0.12773809523809732,67.80000000000018,265.3317899834048
North West,Yams,2003,12,26.554523809523808,470.675,46.60952380952381,100.03,0.1653168530298369,0.21533605246796128,0.11529765359171251,0.0,0.1073179849246231,0.0,5648.1,240,2.8497779858710213,50.51189255439698,0,0,0,0,-0.22867145857334614,0,0,1.4208993887263452,10132.013201320133,10591.581342434585,10113.186813186812,10285.202581691618,26.31325396825397,5589.133333333334,0.16297982555566837,0.0,0.12773809523809732,67.80000000000018,265.3317899834048
North West,Yams,2004,1,28.722738095238096,217.60625,41.792857142857144,94.962,0.1548114188457364,0.20815575956921453,0.10146707812225825,0.0,0.0832609894179894,0.0,217.60625,0,2.3914835926033002,18.118111678538355,0,0,0,0,-1.0545687583585368,1,0,-0.5430241972170053,10132.013201320133,10132.013201320133,10591.581342434585,10346.029850444893,26.73468253968254,4903.366666666667,0.15996335793789476,642.049947374282,0.668214285714285,-2166.4000000000005,370.6877099497267
North West,Yams,2004,2,29.820814306591412,164.50663965182164,41.792857142857144,94.962,0.1548114188457364,0.20815575956921453,0.10146707812225825,0.0,0.0783131529411764,0.0,382.11288965182166,0,2.3353619916225146,12.883033630892102,0,0,0,0,-1.054568758337774,1,0,-0.7942241405085635,10132.013201320133,10132.013201320133,10591.581342434585,10346.029850444893,26.73468253968254,4903.366666666667,0.15996335793789476,642.049947374282,0.668214285714285,-2166.4000000000005,370.6877099497267
North West,Yams,2004,3,30.222738095238096,145.07083333333333,41.792857142857144,94.962,0.1548114188457364,0.20815575956921453,0.10146707812225825,0.0,0.0817454278350515,0.0,527.183722985155,0,2.4705706559419474,11.858877337220783,0,0,0,0,-1.054568758326374,1,0,0.3978918683582775,10132.013201320133,10132.013201320133,10591.581342434585,10346.029850444893,26.73468253968254,4903.366666666667,0.15996335793789476,642.049947374282,0.668214285714285,-2166.4000000000005,370.6877099497267
North West,Yams,2004,4,29.820814306591412,164.50663965182167,41.792857142857144,94.962,0.1548114188457364,0.20815575956921453,0.10146707812225825,1795.6771914490691,0.0994466020942408,594.6244291977424,691.6903626369766,0,2.96557865447384,16.359626335315365,1,0,0,0,-1.0545687583377739,1,0,0.38037732994698,10132.013201320133,10132.013201320133,10591.581342434585,10346.029850444893,26.73468253968254,4903.366666666667,0.15996335793789476,642.049947374282,0.668214285714285,-2166.4000000000005,370.6877099497267
